Name;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9
Holmes;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform
MKO;Vervanging;Geen antwoord;Één applicatie;Één organisatie;Middleware;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
Vernieuwing CIZ;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Webapplicatie;Maatwerk;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
Nieuw GBS;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
Uitrol iWKS;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
SIO ZW Arbo;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
NMS;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
TIV;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord
PLOOI;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Andere ambtenaren;Geen antwoord
WORKit;Vervanging;Geen antwoord;Een landschap van applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord